Stratigraphic Name,Stratno,Previous Name,Previous Name Stratno,Rank, Status ,Parent Name,Parent Stratno, Chemical Parent Name , Chemical Parent Stratno ,Top Minimum Age Name, Top Minimum Age (Ma) , Top Minimum Age Error (Ma), Top Minimum Age Method ,Base Maximum Age Name, Base Maximum Age (Ma) , Base Maximum Age Error (Ma) , Base Maximum Age Method , Minimum Thickness (m) , Maximum Thickness (m) , Type Section State , First ref as on form , Def ref as on form , Reserved by , Resdate , Approved by , Approved date ,General Comments , Lithology Description ,Primary Lithology Group, Secondary Lithology Group , Tectonic Setting , Intrusive , Granite Type
Acacia Sandstone Member,72737,Acacia Sandstone,40303,"Member, phase",Formal,Willara Formation,20070,,,Middle Ordovician,,,,Middle Ordovician,,,,,,,62982,,,,,,,"Quartz sandstone, grains subangular fine to well-rounded medium.",quartz-rich arenite to rudite,,,N,
Agnes Venture Slate,155,,,"Formation, beds",Formal,Woolyeenyer Formation,20591,,,Archean,,,,Archean,,,,,,,42195,,,,,,,,,,,N,
Agnew Komatiite,77940,Agnew komatiite,42471,"Formation, beds",Reserved,,,,,Archean,,,,Archean,2705,,inferred,,100,,69586,,"Sapkota, J. (GSWA Kalgoorlie)",1-Jul-13,,,"Map Sheet: SH51-1,  Wildara 3041. Ultramafic volcanic rock, undivided; metamorphosed. To be published = GSWA geological map and explanatory notes, 2013/2014.","Relatively massive, medium-grained, equigranular, olivine-spinifex-textured, cumulate ultramafic rock; extensive carbonate and serpentinite alteration.",meta-igneous ultramafic volcanic,,,N,
Ahern Formation,30154,Boll Sandstone,2127,"Formation, beds",Formal,,,,,Cryogenian,,,,Neoproterozoic,,,,,200,,43853,,Thorne A.M.,14-Mar-96,,,"Turkey Creek, Bow 1:100 000 sheet areas, east Kimberley. Previously Boll Sandstone. c. 800 Ma. Age updated by I.Sweet.","Fine- to coarse-grained quartz sandstone, pebbly sandstone, conglomerate, siltstone.",sedimentary siliciclastic,,,N,
Ainslie Volcanics (WA),4193,,,"Formation, beds",Formal,,,,,Neoproterozoic,,,,Mesoproterozoic,1000,,,,,,31393,,,,,,,,,,,N,
Airfield Granodiorite,21103,,,"Formation, beds",Formal,,,Paperbark Supersuite,31788,Paleoproterozoic,1850,,,Paleoproterozoic,1865,,,,,,43854,,Sheppard S.,23-Feb-95,,,"East Kimberley region, McIntosh 1:100 000 sheet area.","Medium- to coarse-grained, porphyritic biotite granodiorite and monzogranite.",igneous felsic intrusive,,,Y,
Airlie Member,187,,,"Member, phase",Formal,,,,,Berriasian,,,,Berriasian,,,,,,,42598,,,,,,,,,,,N,
Airport Creek Formation,24150,,,"Formation, beds",Formal,,,,,Pleistocene,,,,Pleistocene,,,,8,,WA,36483,36483,"Semeniuk, V.",8-Jan-76,"Johnstone, M.H.",,Essentially a lithified to partly lithified tidal flat sedimentary accumulation. Average exposed thickness: >3m.,"Interlayered grey to buff calcareous and siliciclastic laminates, sandstone and sponge spicules in the sandstones.",,,,N,
Ajana Formation,31387,,,"Formation, beds",Formal,Dirk Hartog Group,37057,,,Wenlock,,,,Hirnantian,,,,,435,WA,1943,,,,,,"Locally, moderate to good petroleum source potential.",Multicoloured siltstone and shale at base; dolomitic and 'salty'. Grades up to shaly dolostones. Ooid limestones and dolostones in upper cycles.,sedimentary siliciclastic,sedimentary carbonate,,N,
Alabama Sandstone,41023,,,"Formation, beds",Formal,,,,,,,,,,,,,,,,24196,,,,,,,,,,,N,
Albany Granite,213,Albany granite,217,"Formation, beds",Formal,,,,,Mesoproterozoic,1174,12,"isotopic, U/Pb-Pb/Pb ion probe",Mesoproterozoic,1300,,,,,,31393,,,,,,Probably same rock as Albany Adamellite. Dimension stone name. Quarried from the Mount Melville area. WA. It appears that GSWA now (2009) prefers this version of the name over Albany Adamellite. Intruded into the Nornalup Zone during Stage I of the Albany-Fraser Orogen,"Grey, megacrystic granitoid.",igneous felsic intrusive,,,Y,
Albert Edward Group,24651,,,"Group, Suite",Formal,,,,,Ediacaran,560,,"inferred, overlying unit",Ediacaran,600,,"inferred, underlying unit",2000,,WA,44317,45140,,,,,Ruby Plains 1:100 000 sheet area.  Age from Gordon Downs 250K (2nd ed) limited to between the King Leopold Orogeny (~560Ma) and underlying Duerdin Group (~600Ma).,Fine- to medium-grained quartz sandstone; minor pebbly sandstone and conglomerate; minor carbonates.,sedimentary siliciclastic,sedimentary carbonate,,N,
Alcurra Dolerite,39599,Alcurra Dyke Swarm,29763,"Formation, beds",Formal,,,Warakurna Supersuite,73257,Stenian,1054,14,"isotopic, Rb/Sr",Stenian,1085,2,"isotopic, Ar/Ar",,,NT,61154,61154,"Edgoose, C.",3-Aug-92,"Kruse, P.D.",31-Oct-03,See also Alcurra dolerite.,"Dolerite in dykes, sills, or plugs, with olivine gabbro, olivine norite, mesocratic orthopyroxene(-olivine) ferronorite to ferrodiorite.",igneous mafic intrusive,,,Y,
Alexander Formation,25758,Fraser River beds,6890,"Formation, beds",Formal,,,,,Kimmeridgian,,,,Oxfordian,,,,20,219,WA,44404,45153,,,,,"Previously included in Fraser River beds. See also Lexicon. SE51-11,12. Formerly considered part of Edgar Range Group.","Fine to medium grained sandstone, interbedded mudstone; bioturbated; minor conglomerate lenses; fossiliferous.",sedimentary siliciclastic,argillaceous detrital sediment,,N,
Alicia Granite,39341,,,"Formation, beds",Formal,,,,,Archean,,,,Archean,2693,3,"isotopic, Pb/Pb",,,,24091,,,,,,"LEONORA 1:250 000, WEEBO 1:100 000.",,,,,Y,
Alinga Formation,271,"Alinga Beds""""",270,"Formation, beds",Formal,Winning Group,20259,,,Albian,,,,Albian,,,,,15,,45015,,,,,,See also Lexicon.,"Glauconite-rich clayey siltstone to greensand, rarely exposed.",sedimentary siliciclastic,,,N,
Allanson Sandstone,23326,,,"Formation, beds",Formal,Collie Group,4345,,,Kungurian,,,,Artinskian,,,,,,,42711,,Le Blanc Smith G.,2-May-91,,,"See also misspelling Allandale Sandstone, WA, which indicates Kungurian age (RefID 64630, 2008)","Poorly sorted feldspathic sandstone, subordinate conglomerate, siltstone, carbonaceous shale and sporadic coal.",sedimentary siliciclastic,organic-rich rock,,N,
Amhurst Metamorphics,34450,Amherst Metamorphics,30672,"Formation, beds",Formal,,,,,Orosirian,1805,,,Orosirian,1835,,,,,,23601,,,,,, Age: <1865-1850Ma. In the Western Zone of the Lamboo Complex.,"Biotite-hornblende granodiorite gneiss, and biotite-andalusite-garnet-cordierite monzogranitic gneiss; inclusions of metasedimentary and mafic meta-igneous rock.",meta-igneous felsic intrusive,metasedimentary,,Y,
Amhurst Metamorphics - granitoids,74332,,,"Member, phase",Informal,Amhurst Metamorphics,34450,,,Orosirian,,,,Orosirian,,,,,,,,,,,,,,Inclusion-rich biotite-hornblende granodiorite gneiss and garnet-cordierite-andalusite-sillimanite-biotite monzogranitic gneiss; metamorphosed equivalents of Neville Granodiorite,high grade metamorphic rock,,,Y,
Amhurst Metamorphics - schist and gneiss,74333,,,"Member, phase",Informal,Amhurst Metamorphics,34450,,,Orosirian,,,,Orosirian,,,,,,,,,,,,,,"Medium to high grade metasediments and granitoids, sillimanite-garnet-cordierite-K-feldspar-plagioclase schist, granofels and migmatite: metamorphosed equivalent of Marboo Formation",metasedimentary siliciclastic,high grade metamorphic rock,,N,
Amputjuta Dacite,35317,Umputjutu Dacite,33814,"Formation, beds",Formal,,,Pottoyu Granite Suite,33649,Stenian,,,,Stenian,1153,3,"isotopic, Pb/Pb",,,NT,50321,65256,"Edgoose C., Close D.",23-Nov-99,"Kruse, P.D.",21-Jan-02,"Bloods Range 1:250 000 map sheet area. Age: 1153+/-3Ma (Pb-Pb). Type Section: 24 56' 53.04'' S, 129 05' 10.25''E (WGS84). Underlies Dean Quartzite in the Mannanana Range. Within the Pitjantjatjara Supersuite.",Finely porphyritic hypabyssal dacite; less abundant equigranular leucogranite.,igneous felsic volcanic,,,N,
Anchor Formation,73998,,,"Formation, beds",Formal,,,,,Middle Jurassic,,,,Late Jurassic,,,,,,,14227,,,,,,Geological province: Exmouth Sub-basin.,Marine shales.,,,,N,
Anderson Formation,25762,,,"Formation, beds",Formal,,,,,Serpukhovian,,,biozone,Tournaisian,,,,,1800,WA,44040,45153,,,,,"Of McWhae et al (1959). See also Lexicon. Previously shown as part of Fairfield Group, but this was probably misinterpretation of a figure. Oil bearing in the Lloyd field; sealed by intraformational shales. Shown on 2009 Canning Basin Bizonation and Stratigraphy chart as Tournasian-Visean, also in 2017 ref..","Sandstone, siltstone, shale, minor limestone, dolomite, anhydrite.",sedimentary siliciclastic,sedimentary carbonate,,N,
Andover Intrusion,31682,Andover Complex,429,"Formation, beds",Formal,,,Orpheus Supersuite,68743,Mesoarchean,2925,,,Mesoarchean,3016,,,,,,43822,,,,,,"Use of the stratigraphic term ""Intrusion"" is to remain in use in the Pilbara region only (per Conveners' agreement, AESC Perth 2008).  Age :c.3016Ma.","Gabbro, leucogabbro, serpentinised peridotite and dunite, pyroxenite, and minor anorthosite; metamorphosed.",igneous mafic intrusive,igneous ultramafic intrusive,,Y,
Angalarri Siltstone,437,,,"Formation, beds",Formal,Auvergne Group,787,,,Cryogenian,,,,Cryogenian,838,80,"isotopic, Rb/Sr",300,753,NT,45022,48938,,,,,"Age: 838 +/-80Ma (Rb-Sr, Webb and Page 1977)(controversial?) . Formerly shown as Calymmian but reason not clear. Group is Neoproterozoic. Age is Adelaidean. See also the misspelt Angalarri Sandstone. Victoria Basin.","Siltstone,  interbeds of fine sandstone, shale; minor dolostone and limestone.",sedimentary siliciclastic,sedimentary carbonate,,N,
Angas Hills Formation,79060,Angas Hills beds,75569,"Formation, beds",Formal,,,,,Early Cambrian,,,"inferred, geological correlation",Ediacaran,,,"inferred, geological correlation",300,,WA,71088,,"Haines, P., Allen, H. (GSWA) after Blake & Towner (1974)",25-Mar-15,"Barham, M.",25-Mar-15,"Proposed publication: Geological Survey of Western Australia Record. Amadeus Basin, Centralian Superbasin.","Interbedded pebble and cobble conglomerate, sandstone, pebbly sandstone and siltstone. Pebble and cobble clasts are typically well rounded; friable clayey sandstone matrix. Minor mudstone.",sedimentary siliciclastic,,,N,
Angel Formation,23335,,,"Formation, beds",Formal,,,,,Berriasian,,,inferred,Oxfordian,,,inferred,,,WA,40617,40617,"R.M.Hocking, H.T.Moors",23-May-83,,,"Ages, relations, lithology updated from GA Timescales Project Feb 2009. Further updated 2015.",Turbidite sandstone and siltstone.,quartz-rich arenite to rudite,,,N,
Angelo Microgranite,21138,,,"Member, phase",Formal,Koongie Park Formation,9793,Koongie Park Suite,31899,Paleoproterozoic,1800,,,Paleoproterozoic,1845,,,,,,23601,,Griffin T.J. & Tyler I.M.,14-Dec-92,,,East Kimberley Region. In the Central Zone of the Lamboo Complex. GSWA interprets this unit asa  member of the Koongie Park Formation.,Altered medium to fine grained granophyre with local disseminated malachite.,igneous felsic intrusive,,,Y,
Anjo Sandstone Member,77463,,,"Member, phase",Informal,,,,,Early Triassic,,,,Early Triassic,,,,,,,67370,,,,,,Unit in Osprey Formation?,,,,,N,
Anketell Formation,464,Anketell Sandstone,465,"Formation, beds",Formal,,,,,Albian,,,,Aptian,,,,,,WA,44998,45153,,,,,,"Poorly sorted, cross bedded and partly bioturbated, paralic fine sandstone and siltstone with interbedded coarse sandstone and conglomerate",sedimentary siliciclastic,argillaceous detrital sediment,,N,
Anna Plains Sandstone,23337,,,"Formation, beds",Formal,,,,,Givetian,,,,Eifelian,,,,,,,40837,,P.Lehmann,20-Jan-84,,,,,,,,N,
Annabelle Volcanics,36842,Annabel,21139,"Formation, beds",Formal,,,Ravensthorpe Suite,78594,Mesoarchean,2958,4,,Mesoarchean,2989,11,,,,,23753,,,,,,"NB: Ravensthorpe Terrane nomenclature was abandoned (Refid 65487, 2009). Hosts most of the gold and base metal mineralisation in the Ravensthorpe and Cocanarup areas.","Dominant volcaniclastics, and minor lavas: metamorphosed calc-alkaline basalts (10-20%), andesite (50-70%), and dacite",sedimentary siliciclastic,igneous intermediate volcanic,,N,
Annean Supersuite,74813,,,Supergroup,Formal,,,,,Neoarchean,2733,,,Mesoarchean,2815,,,,,,64891,,"Van Kranendonk, M. (GSWA)",17-Sep-08,,,Geological province: Murchison Domain. Age range extended back to 2815 Ma to include the Mount Kenneth Suite rocks.,"Syn-volcanic tonalitic rocks and trondhjemite, granodiorite, granite, monzogranite, gabbro, peridotite, dolerite, pyroxenite, magnetite, anorthosite; all metamorphosed. Felsic schists, gneisses.",meta-igneous mafic intrusive,meta-igneous felsic intrusive,,Y,
Antarctic Creek Member,33445,Antarctic Chert Member,70178,"Member, phase",Formal,Mount Ada Basalt,26045,,,Paleoarchean,,,,Paleoarchean,3470,1.9,"isotopic, U/Pb",,,,23755,,VanKranendonk M.,19-Jan-99,,,"North Shaw 1: 100 000 sheet area, east Pilbara. Previously included within Apex Basalt - now established through new age data that it is part of Mount Ada Basalt (per statement from M. Van Kranendonk, Mar06). See also the misnamed Antarctic Chert Member.","Lapilli tuff, felsic porcellanite, carbonate, arenite, conglomerate, chert, jaspilite, impact spherule layer; metamorphosed.",metamorphic protolith unknown,sedimentary non-carbonate chemical or biochemical,,N,
Anthiby Formation,79992,,,"Formation, beds",Reserved,,,,,Siderian,,,,Siderian,,,,,,,,,"Martin, D. (GSWA)",17-Jul-17,,,"Renamed from Cajuput Member reservation. Map sheet SF50-11 Mount Bruce, 2352 Rocklea 1:100k. Nearest Town: Paraburdoo. The Anthiby Member is proposed for a 90m-thick, unconformity-bound, siltstone-dominated unit at the top of the Kazput Formation in the Turee Creek Group. The unit has been informally referred to as the 'upper Kazput Formation'. Anthiby Well which is about 35km west of the type area. A full formal description will soon be published in ENS, and it is intended to publish a full definition in a GSWA Record or external publication.",Siltstone-dominated.,argillaceous detrital sediment,,,N,
Antrim Plateau Volcanics,488,Antrim Plateau Basalts,487,"Formation, beds",Formal,Kalkarindji Volcanic Group,69564,Kalkarindji Suite,75724,Middle Cambrian,505,2,"isotopic, Ar/Ar",Early Cambrian,513,12,"isotopic, U/Pb-Pb/Pb ion probe",30,1500,WA,44965,69445,,,,,"Present name by Traves (1955). U-Pb SHRIMP age 513 +/- 12 Ma. Ar-Ar ages 505 +/- 2 and 508 +/- 2 Ma (Glass and Phillips, 2006). K-Ar age ~510 Ma. Of the Kalkarindji continental flood basalt province. Included in the Kalkarindji Suite in Oct 2009. Locally associated with minor copper mineralisation.",Massive and amygdaloidal tholeiitic basalt and basalt breccia; commonly capped by ferricrete. Agglomerate with brecciated flow tops. Minor sandstone and chert interbeds.,igneous mafic volcanic,sedimentary,intracratonic,N,
Antrim Plateau Volcanics and Lally Conglomerate,80953,,,"Group, Suite",Informal,,,,,Series 3,505,2,isotopic,Series 2,,,inferred,,,,,,,,,,In refID 72034. (GSWA (2016). 1:500 000 Interpreted Bedrock Geology of Western Australia.  Also Subsurface unit interpreted by Songfa Liu for the basement geology of the Exploring for the Future area.,Flood basalts with lesser siliciclastic sedimentary rocks.,igneous mafic volcanic,sedimentary siliciclastic,,N,
Apex Basalt,25763,,,"Formation, beds",Formal,Salgash Subgroup,16559,,,Paleoarchean,3425,,,Paleoarchean,3460,,,3000,4000,WA,31309,31309,,,,,"Within the Warrawoona Group (Pilbara Supergroup). Intruded by the Coppin Gap and Mullugunya Granodiorites (Mount Edgar Complex). Wrongly said to include the Antarctic Chert Member [misspelling of Antarctic Creek Member, of older Mount Ada Basalt]. In the North Pole Dome, Pilbara Craton.","Basalt, komatiitic basalt, and serpentinised peridotite; local dolerite sills; minor felsic volcaniclastic rocks and chert; metamorphosed.",meta-igneous mafic volcanic,metasedimentary,,N,
Aquitaine Formation,74208,,,"Formation, beds",Formal,Wadeye Group,74204,,,Bashkirian,,,,Bashkirian,,,,,,,61542,,,,,,Offshore equivalent of the onshore Point Spring Sandstone - named for a petroleum company and therefore does not adhere to stratigraphical rules/conventions. Geological province: onshore Bonapart Basin/Petrel-Sub-basin.,"Fine- to coarse-grained sandstone with a few siltstone interbeds, grading up into siltstone.",sedimentary siliciclastic,,,N,
Aralka Formation,524,,,"Formation, beds",Formal,Inindia beds,26630,,,Ediacaran,,,"inferred, overlying unit",Cryogenian,658,5,"isotopic, Re/Os",,1020,NT,46865,46865,"Preiss W.V., Walter M.R., Coats R.P. and Wells A.T.",,"Wells, A.T.",1-Oct-77,"Unit redefined 29-SEP-2015 by Normington, V.J. and Donnellan, N, and data available here. Redefinition also to be published in: Normington and Donnellan, in prep. Characterisation of the Neoproterozoic stratigraphy of the northeast Amadeus Basin, Northern Territory. Northern Territory Geological Survey Report.  The depositional age(658 Ma) is inferred from Re-Os dating in Wallara 1.","Siltstone, shale, dolostone, sandstone and grainstone.",sedimentary siliciclastic,,,N,
Arbitration Cove Sandstone Member,538,,,"Member, phase",Formal,Warton Sandstone,19549,,,Paleoproterozoic,,,,Paleoproterozoic,,,,,,,30897,,,,,,,,,,,N,
Archean felsic volcanics 76504,76504,,,"Formation, beds",Unnamed,,,,,Neoarchean,2500,,,Neoarchean,2520,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,"Mainly felsic volcanics, including lavas and tuffs. Association may include volcaniclastic rocks.",igneous felsic volcanic,,,N,
Archean felsic volcanics 76505,76505,,,"Formation, beds",Unnamed,,,,,Neoarchean,2750,,,Mesoarchean,2835,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,"Mainly felsic volcanics, including lavas and tuffs. Association may include volcaniclastic rocks.",igneous felsic volcanic,,,N,
Archean felsic volcanics 76506,76506,,,"Formation, beds",Unnamed,,,,,Paleoarchean,3440,,,Paleoarchean,3480,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,"Mainly felsic volcanics, including lavas and tuffs. Association may include volcaniclastic rocks.",igneous felsic volcanic,,,N,
Archean granites 76508,76508,,,"Formation, beds",Unnamed,,,,,Neoarchean,2630,,,Mesoarchean,2850,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Mainly felsic intrusive rocks.  Range in composition from alkali feldspar granite to tonalite; includes associated rocks such as migmatite and minor gabbro and diorite.,igneous felsic intrusive,,,Y,
Archean granites 76509,76509,,,"Formation, beds",Unnamed,,,,,Paleoarchean,3010,,,Paleoarchean,3500,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Mainly felsic intrusive rocks.  Range in composition from alkali feldspar granite to tonalite; includes associated rocks such as migmatite and minor gabbro and diorite.,igneous felsic intrusive,,,Y,
Archean granulite-facies metamorphics 76511,76511,,,"Formation, beds",Unnamed,,,,,Archean,2600,,,Archean,3320,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,"High-grade metamorphic rocks, generally with granulite facies assemblages; includes granitic gneisses",high grade metamorphic rock,,,N,
Archean granulite-facies metamorphics 76512,76512,,,"Formation, beds",Unnamed,,,,,Paleoarchean,3280,,,Paleoarchean,3320,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,"High-grade metamorphic rocks, generally with granulite facies assemblages; includes granitic gneisses",high grade metamorphic rock,,,N,
Archean mafic intrusives 76503,76503,,,"Formation, beds",Unnamed,,,,,Archean,2500,,,Archean,3500,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,"Dolerite, gabbro and other mafic igneous rocks; commonly as dykes and sills; may include some metamorphosed mafic intrusions and subordinate ultramafic rocks.",igneous mafic intrusive,,,Y,
Archean mafic volcanics 76500,76500,,,"Formation, beds",Unnamed,,,,,Neoarchean,2690,,,Neoarchean,2770,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Mainly basaltic rocks; may include minor ultramafic volcanics,igneous mafic volcanic,,,N,
Archean mafic volcanics 76501,76501,,,"Formation, beds",Unnamed,,,,,Mesoarchean,2830,,,Mesoarchean,2840,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Mainly basaltic rocks; may include minor ultramafic volcanics,igneous mafic volcanic,,,N,
Archean mafic volcanics 76502,76502,,,"Formation, beds",Unnamed,,,,,Mesoarchean,3000,,,Paleoarchean,3600,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Mainly basaltic rocks; may include minor ultramafic volcanics,igneous mafic volcanic,,,N,
Archean sedimentary rocks 76515,76515,,,"Formation, beds",Unnamed,,,,,Neoarchean,2660,,,Neoarchean,2745,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias,sedimentary,,,N,
Archean sedimentary rocks 76516,76516,,,"Formation, beds",Unnamed,,,,,Neoarchean,2725,,,Neoarchean,2745,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias,sedimentary,,,N,
Archean sedimentary rocks 76517,76517,,,"Formation, beds",Unnamed,,,,,Mesoarchean,2965,,,Paleoarchean,3240,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias,sedimentary,,,N,
Archean to Paleoproterozoic sedimentary rocks 76514,76514,,,"Formation, beds",Unnamed,,,,,Paleoproterozoic,2450,,,Neoarchean,2640,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias,sedimentary,,,N,
Arco Formation,74209,,,"Formation, beds",Formal,Wadeye Group,74204,,,Bashkirian,,,,Bashkirian,,,,,,,61542,,,,,,Of Wadeye Gp - offshore equiv.of onshore Point Spring Sst. Variously overlies Sunbird+Tanmurra Fms.+ Kingfisher Shale. Named for a petroleum company and therefore does not adhere to stratigraphic rules/conventions.,"Lower 62m-thick interval of interbedded siltstone and fine- to very coarse-grained sandstone; up to 5% recrystallised limestone grains, occcasional fossils and common calcite cement; below fine- to coarse- and rarely very coarse-grained sandstone.",sedimentary siliciclastic,,,N,
Argus Igneous Complex,75379,,,"Formation, beds",Formal,,,,,Neoarchean,2738,26,"isotopic, U/Pb-Pb/Pb ion probe",Neoarchean,2737,26,"isotopic, U/Pb-Pb/Pb ion probe",,,,66119,,"Pawley, M. (GSWA)",16-Jul-09,,,"Rason 1:250k map sheet area. A layered gabbro and anorthosite intrusive complex in the northeast corner of the Yilgarn Craton. The Argus Igneous Complex concordantly intrudes the western part of the Yamarna-Mount Gill greenstone belt, and has been dated at 2738 +/- 26 Ma (GSWA SHRIMP age). The unit is named after a bore (Argus Bore at 51J 560650 6893675) that occurs near the main outcrop of the unit.",Metamorphosed anorthosite; contains interleaved amphibolite.,meta-igneous ultramafic,,,Y,
Argyle Lamproite,578,Argyle lamproite,579,"Formation, beds",Formal,,,,,Stenian,,,,Stenian,1178,,"isotopic, Rb/Sr",,,,41158,,,,,,,Volcaniclastic olivine lamproite with olivine-phlogopite dykes.,igneous lamproites,,,Y,
Arid Basin unit,80989,,,"Formation, beds",Informal,,,,,Mesoproterozoic,,,,Mesoproterozoic,,,,,,,72034,,,,,,Arid Basin.,"Psammitic and semipelitic gneiss, locally garnet-rich; interlayered with mafic amphibolite to granulite and granitic gneiss.",metasedimentary siliciclastic,,,N,
Aries kimberlite,36759,,,"Formation, beds",Informal,,,,,,,,,,,,,,,,23772,,,,,,"Informally named kimberlite pipe. In the Kimberley Block. Originally entered as NT unit, but more likely to be in WA [CEB Mar-2012].",,,,,Y,
Armadale Shale,613,,,"Formation, beds",Formal,Cardup Group,3601,,,Neoproterozoic,,,,Neoproterozoic,,,,,483,WA,30939,36293,,,,,Suitable for clay mining.,Black and white shales with minor sandstone and orthoquartzite.,argillaceous detrital sediment,quartz-rich arenite to rudite,,N,
