Word TrueLabel
Mine I-LOCATION
. O

Potential O
CIDs B-ORE_DEPOSIT
DIDs I-ORE_DEPOSIT
and O
outcropping O
magnetite B-MINERAL
locations O
were O
also O
mapped O
and O
put O
into O
their O
respective O
geological O
and O
structural O
settings O
. O

Numerous O
locations O
of O
outcropping O
DSO B-ORE_DEPOSIT
hematite B-MINERAL
were O
mapped O
associated O
with O
favourable O
structural O
settings O
. O

Rock O
chip O
sampling O
over O
the O
20 O
kilometre O
long O
BIF B-ROCK
belt O
was O
also O
carried O
out O
in O
conjunction O
with O
the O
geological O
mapping O
. O

The O
focus O
of O
the O
original O
rock O
sampling O
was O
initially O
directed O
to O
outcropping O
areas O
of O
DSO B-ORE_DEPOSIT
hematite B-MINERAL
and O
CIDs B-ORE_DEPOSIT
and O
DIDs B-ORE_DEPOSIT
. O

First O
pass O
rock O
sampling O
was O
focused O
on O
only O
obvious O
outcropping O
DSO B-ORE_DEPOSIT
hematite B-MINERAL
zones O
and O
enriched O
horizons O
of O
CIDs B-ORE_DEPOSIT
and O
DIDs B-ORE_DEPOSIT
. O

The O
sampling O
exercise O
successfully O
delineated O
many O
DSO B-ORE_DEPOSIT
hematite B-MINERAL
areas O
and O
several O
locations O
of O
DIDs B-ORE_DEPOSIT
and O
CIDs B-ORE_DEPOSIT
. O

Limited O
first O
pass O
sparse O
drilling O
across O
prioritised O
CIDs B-ORE_DEPOSIT
Channel I-ORE_DEPOSIT
Iron I-ORE_DEPOSIT
Deposits I-ORE_DEPOSIT
have O
partially O
established O
the O
environment O
for O
the O
formation O
of O
CIDs B-ORE_DEPOSIT
within O
the O
eastern O
modern O
day O
drainage O
system O
. O

Due O
to O
the O
dramatic O
shift O
in O
the O
price O
of O
iron B-ORE_DEPOSIT
ore I-ORE_DEPOSIT
over O
the O
past O
12 O
months O
however O
it O
has O
become O
difficult O
to O
raise O
the O
capital O
required O
to O
advance O
this O
project O
to O
its O
next O
logical O
level O
which O
is O
that O
of O
resource O
definition O
drilling O
. O

These O
sub O
economic O
CID B-ORE_DEPOSIT
intervals O
were O
within O
a O
fluviatile O
environment O
where O
Bands O
of O
classical O
oolitic O
pisolites B-ROCK
and O
pelletoids B-ROCK
were O
intersected O
. O

First O
pass O
drilling O
over O
the O
areas O
of O
potential O
CIDs B-ORE_DEPOSIT
is O
very O
sparse O
. O

Further O
drilling O
is O
required O
on O
all O
CID B-ORE_DEPOSIT
Prospects O
to O
further O
the O
overall O
geometry O
, O
average O
iron O
grades O
and O
associated O
impurities O
. O

The O
most O
significant O
intersection O
was O
recorded O
in O
hole O
13TPRC052 O
where O
a O
17 O
m O
interval O
of O
massive O
pyrite B-MINERAL
was O
recorded O
between O
138 O
m O
to O
155 O
m O
. O

Some O
elevated O
silver B-MINERAL
values O
were O
recorded O
but O
no O
other O
base B-ORE_DEPOSIT
metals I-ORE_DEPOSIT
were O
noted O
. O

This O
project O
covers O
the O
entire O
Windimurra B-STRAT
Narndee I-STRAT
Complex I-STRAT
, O
an O
area O
of O
approximately O
5,500m2 O
. O

It O
was O
found O
that O
the O
radiometric O
highs O
corresponded O
with O
outcropping O
calcrete B-ROCK
but O
diminished O
with O
increasing O
amounts O
of O
sandy O
cover O
. O

Location O
The O
Project O
area O
is O
located O
approximately O
60 O
km O
east O
southeast O
of O
Mount B-LOCATION
Magnet I-LOCATION
. O

Geology O
The O
project O
covers O
part O
of O
the O
Windimurra B-STRAT
Complex I-STRAT
. O

The O
Narndee O
Project O
is O
located O
in O
the O
Mount B-LOCATION
Magnet I-LOCATION
region O
of O
Western B-LOCATION
Australia I-LOCATION
. O

This O
report O
comprises O
the O
Annual O
Report O
for O
Exploration O
License O
E58 O
281 O
Boundary I-LOCATION
Well I-LOCATION
and O
outlines O
the O
work O
carried O
out O
on O
the O
tenement O
over O
the O
period O
28 O
. O

It O
was O
determined O
that O
the O
radiometric O
highs O
correspond O
with O
outcrops O
of O
calcrete B-ROCK
. O

Airborne O
EM O
Surveys O
, O
Calcrete B-ROCK
, O
Uranium B-ORE_DEPOSIT
, O
Scintillometer O
Wynangoo B-LOCATION
2542 O
. O

The O
tenement O
is O
located O
approximately O
60 O
km O
east O
northeast O
of O
Mount B-LOCATION
Magnet I-LOCATION
. O

Mount B-LOCATION
Magnet I-LOCATION
is O
approximately O
500 O
km O
north O
northeast O
of O
Perth B-LOCATION
Figure O
1 O
. O

The O
tenement O
lies O
on O
the O
Wondinong B-LOCATION
and O
Challa B-LOCATION
pastoral O
stations O
. O

In O
1972 O
, O
inspired O
by O
its O
uranium B-ORE_DEPOSIT
discovery O
at O
Yeelirrie B-LOCATION
in O
Western B-LOCATION
Australia I-LOCATION
. O

Western O
Mining O
Corporation O
Limited O
began O
evaluating O
airborne O
radiometric O
anomalies O
associated O
with O
calcrete B-ROCK
developed O
within O
the O
Cainozoic B-TIMESCALE
paleodrainage O
channels O
which O
wrap O
around O
the O
northern O
and O
eastern O
flanks O
of O
the O
Windimurra B-STRAT
Complex I-STRAT
. O

Minor O
carnotite B-MINERAL
was O
discovered O
at O
Wondinong B-LOCATION
, O
coincident O
with O
one O
of O
the O
airborne O
radiometric O
anomalies O
located O
over O
the O
southernmost O
of O
two O
inlets O
at O
the O
eastern O
end O
of O
Lake B-LOCATION
Austin I-LOCATION
. O

In O
2008 O
flying O
of O
an O
airborne O
EM O
survey O
was O
completed O
over O
the O
entire O
area O
of O
the O
Windimurra B-STRAT
Narndee I-STRAT
Complexes I-STRAT
. O

The O
Project O
area O
covers O
the O
Narndee B-STRAT
layered I-STRAT
intrusive I-STRAT
complex I-STRAT
LIC O
; O
part O
of O
the O
Windimurra B-STRAT
Group I-STRAT
of O
layered B-ROCK
mafic I-ROCK
intrusions I-ROCK
2,847 O
Ma O
71 O
Ma O
lying O
along O
the O
boundary O
of O
the O
Murchison B-LOCATION
and O
Southern B-LOCATION
Cross I-LOCATION
provinces I-LOCATION
of O
granitoid B-ROCK
greenstone B-ROCK
in O
the O
Archean B-TIMESCALE
Yilgarn B-LOCATION
Craton I-LOCATION
. O

These O
bodies O
are O
situated O
in O
close O
proximity O
to O
a O
major O
crustal O
suture O
and O
represent O
the O
largest O
layered B-ROCK
intrusive I-ROCK
system O
in O
Australia B-LOCATION
. O

The O
Windimurra B-STRAT
Complex I-STRAT
is O
an O
elliptical O
body O
, O
approximately O
85 O
km O
north O
south O
and O
35 O
km O
eastwest O
, O
covering O
a O
total O
area O
of O
about O
2,350km2 O
. O

The O
complex O
is O
dominantly O
comprised O
of O
basic B-ROCK
cumulate I-ROCK
rocks I-ROCK
that O
can O
broadly O
be O
classed O
as O
gabbroic O
in O
composition O
. O

Detailed O
study O
shows O
that O
post O
intrusion O
metamorphism O
is O
restricted O
to O
very O
low O
grade O
, O
except O
in O
shear O
zones O
, O
and O
has O
allowed O
a O
stratigraphic O
sequence O
to O
be O
defined O
comprising O
, O
from O
base O
to O
top O
: O
i O
A O
Border O
Facies O
of O
coarse O
grained O
gabbro B-ROCK
, O
interpreted O
as O
the O
chilled O
margins O
to O
the O
complex O
. O

An O
Ultramafic B-ROCK
Basal I-ROCK
Series I-ROCK
of O
serpentinised O
olivine B-MINERAL
and O
chromite B-MINERAL
cumulates O
. O

These O
rocks O
are O
poorly O
exposed O
at O
Mulyeron B-LOCATION
Hill I-LOCATION
, O
such O
that O
the O
extent O
and O
stratigraphic O
relationship O
of O
these O
rocks O
is O
uncertain O
. O

A O
Lower O
Series O
of O
layered O
anorthositic B-ROCK
gabbronorite I-ROCK
and O
olivine B-MINERAL
gabbro B-ROCK
. O

The O
500 O
m O
thick O
Shephards B-STRAT
Discordant I-STRAT
Zone I-STRAT
, O
which O
extends O
for O
over O
50 O
km O
in O
strike O
and O
which O
includes O
significant O
vanadiferous O
magnetite B-MINERAL
mineralisation O
, O
cuts O
this O
series O
. O

iv O
A O
Middle O
Series O
of O
magnetite B-MINERAL
gabbronorite B-ROCK
that O
shows O
well O
defined O
magmatic O
layering O
, O
and O
includes O
the O
Canegrass B-STRAT
layered I-STRAT
magnetite I-STRAT
zone I-STRAT
. O

An O
Upper O
Series O
of O
magnetite B-ROCK
olivine I-ROCK
gabbro I-ROCK
. O

The O
basal O
contact O
of O
the O
Canegrass B-STRAT
magnetite I-STRAT
zone I-STRAT
, O
the O
western O
of O
the O
two O
major O
magnetite B-MINERAL
layered O
sequences O
, O
is O
described O
as O
varying O
between O
conformable O
and O
a O
low O
angle O
unconformity O
with O
the O
underlying O
Lower O
Series O
gabbro B-ROCK
. O

The O
Shephards B-STRAT
Discordant I-STRAT
Zone I-STRAT
SDZ O
is O
a O
well O
layered O
sequence O
of O
magnetite B-MINERAL
and O
magnetite B-MINERAL
gabbro B-ROCK
with O
50 O
km O
of O
north O
to O
south O
strike O
extent O
. O

Origins O
related O
to O
these O
latter O
two O
processes O
may O
have O
considerable O
significance O
to O
the O
processes O
of O
magma O
mixing O
that O
favour O
the O
formation O
of O
PGE B-ORE_DEPOSIT
mineralisation O
. O

The O
Wyemandoo O
Shear O
includes O
mafic B-ROCK
felsic I-ROCK
schists I-ROCK
and O
banded B-ROCK
iron I-ROCK
formation I-ROCK
and O
may O
include O
tectonically O
interleaved O
rocks O
of O
gabbroic O
, O
granite B-ROCK
and O
greenstone B-ROCK
origin O
. O

At O
its O
southern O
extent O
, O
the O
shear O
trends O
north O
to O
northeast O
and O
separates O
discordant O
gabbro B-ROCK
sequence O
that O
is O
correlated O
with O
the O
Lower O
Series O
of O
the O
main O
intrusion O
. O

Further O
north O
the O
Wyemandoo O
Shear O
forms O
the O
eastern O
boundary O
between O
gabbro B-ROCK
of O
the O
Windimurra B-STRAT
Complex I-STRAT
and O
Shear O
separates O
gabbro B-ROCK
from O
regional O
granitoids B-ROCK
. O

Airborne O
magnetic O
data O
suggest O
that O
the O
southern O
extent O
of O
the O
Mullyubraya O
Shear O
is O
part O
of O
a O
regional O
, O
20 O
km O
wide O
, O
north O
to O
northwest O
trending O
shear O
system O
that O
may O
truncate O
the O
southwest O
margin O
of O
the O
Windimurra B-STRAT
Complex I-STRAT
. O

5 O
km O
thick O
sequence O
of O
felsic B-ROCK
volcanics I-ROCK
, O
metasediments B-ROCK
, O
BIF B-ROCK
and O
cherts B-ROCK
, O
tectonically O
overlie O
about O
15 O
of O
the O
northern O
middle O
portion O
of O
the O
complex O
. O

At O
several O
places O
this O
sequence O
has O
been O
intruded O
by O
gabbroic B-ROCK
rock I-ROCK
types O
of O
the O
Windimurra B-STRAT
Complex I-STRAT
. O

Historic O
gold B-MINERAL
workings O
are O
generally O
confined O
to O
this O
overlying O
unit O
or O
late O
gabbroic B-ROCK
intrusions I-ROCK
. O

The O
Narndee B-STRAT
LIC O
consists O
of O
rhythmically O
layered O
ultramafic B-ROCK
gabbroic I-ROCK
sequences I-ROCK
which O
have O
been O
variably O
exposed O
over O
a O
strike O
length O
of O
50 O
km O
due O
to O
erosion O
of O
the O
Quaternary B-TIMESCALE
and O
Cainozoic B-TIMESCALE
cover O
. O

Milgoo B-STRAT
Layered I-STRAT
Series I-STRAT
MLS O
Comprised O
of O
a O
western O
Lower O
Zone O
LZ O
, O
3 O
. O

6 O
km O
thick O
dominated O
by O
ultramafic B-ROCK
cumulates I-ROCK
and O
an O
overlying O
Gabbronorite B-ROCK
Zone O
GZ O
, O
1 O
. O

Kockalocka B-STRAT
Layered I-STRAT
Series I-STRAT
KLS O
Dominantly O
gabbronorites B-ROCK
having O
a O
total O
thickness O
of O
approximately O
6 O
km O
. O

4 O
km O
of O
the O
KLS O
may O
correlate O
with O
the O
GZ O
of O
the O
Milgoo B-STRAT
Series I-STRAT
. O

In O
comparison O
with O
the O
KLS O
units O
which O
are O
generally O
well O
exposed O
and O
show O
good O
continuity O
with O
numerous O
cyclic O
repetitions O
, O
the O
MLS O
units O
are O
poorly O
exposed O
with O
significant O
structural O
complexity O
. O

Apart O
from O
the O
LIC O
units O
, O
the O
exploration O
licences O
also O
cover O
metasedimentary B-ROCK
, O
metavolcanic B-ROCK
and O
granite B-ROCK
, O
gneissic O
bedrock B-ROCK
units O
from O
the O
LIC O
hangwall O
. O

Large O
portions O
of O
the O
property O
area O
are O
overlain O
by O
a O
range O
of O
regolith B-ROCK
materials O
, O
which O
include O
silcrete B-ROCK
, O
calcrete B-ROCK
, O
laterite B-ROCK
, O
colluvium B-ROCK
and O
Aeolian B-ROCK
sands I-ROCK
. O

The O
Project O
area O
is O
located O
approximately O
60 O
km O
east O
southeast O
of O
Mount B-LOCATION
Magnet I-LOCATION
and O
550 O
km O
northeast O
of O
Perth B-LOCATION
in O
Western B-LOCATION
Australia I-LOCATION
Figure O
1 O
. O

The O
area O
is O
covered O
by O
the O
Wondinong B-LOCATION
, O
Challa B-LOCATION
, O
Windsor B-LOCATION
, O
Windimurra B-LOCATION
and O
Wynangoo B-LOCATION
pastoral O
leases O
. O

The O
Shires O
of O
Mount B-LOCATION
Magnet I-LOCATION
and O
Sandstone B-LOCATION
administer O
various O
portions O
of O
the O
project O
. O

The O
proposed O
location O
of O
the O
treatment O
facility O
for O
the O
Phillips O
River O
Gold B-MINERAL
Project O
Kundip B-LOCATION
and O
Trilogy B-LOCATION
deposits O
is O
located O
in O
mining O
lease O
74/13 O
. O

An O
agreement O
was O
reached O
between O
TTR O
and O
Mincor O
Resources O
NL O
Mincor O
to O
allow O
Mincor O
to O
earn O
an O
80 O
equity O
interest O
in O
RAV8 O
by O
spending O
5 O
million O
on O
nickel B-MINERAL
exploration O
in O
M74/13 O
within O
a O
3 O
year O
period O
. O

In O
January O
2007 O
an O
agreement O
was O
reached O
between O
TTR O
and O
Mincor O
to O
allow O
Mincor O
to O
earn O
an O
80 O
equity O
interest O
in O
the O
RAV8 O
nickel B-MINERAL
project O
by O
spending O
5 O
million O
on O
nickel B-MINERAL
exploration O
over O
the O
next O
3 O
years O
. O

TTR O
retains O
the O
right O
to O
mine O
the O
existing O
resource O
at O
RAV8 O
within O
50 O
m O
of O
current O
mine O
workings O
and O
the O
right O
to O
any O
nickel B-MINERAL
bearing O
material O
contained O
in O
the O
surface O
dumps O
. O

PMI O
targeted O
the O
area O
for O
copper B-MINERAL
and O
associated O
base B-ORE_DEPOSIT
metals I-ORE_DEPOSIT
. O

PMI O
discovered O
numerous O
nickel B-MINERAL
gossans B-ROCK
in O
the O
project O
area O
to O
the O
east O
of O
Ravensthorpe B-LOCATION
and O
subsequently O
drilled O
28 O
holes O
including O
several O
at O
the O
RAV8 B-ORE_DEPOSIT
discovery O
. O

The O
area O
was O
initially O
targeted O
for O
copper B-MINERAL
and O
with O
nickel B-MINERAL
developments O
becoming O
prominent O
in O
Kambalda B-LOCATION
the O
shift O
in O
exploration O
took O
place O
towards O
nickel B-MINERAL
. O

In O
1973 O
a O
zone O
of O
high O
grade O
mineralisation O
was O
identified O
, O
from O
further O
RC O
and O
RAB O
drilling O
at O
RAV8 B-ORE_DEPOSIT
. O

WMC O
carried O
out O
further O
drilling O
to O
define O
the O
RAV8 B-ORE_DEPOSIT
ore I-ORE_DEPOSIT
shoot O
. O

In O
January O
2007 O
, O
Tectonic O
announced O
the O
recommencement O
of O
mining O
activities O
at O
the O
RAV8 B-ORE_DEPOSIT
nickel B-ORE_DEPOSIT
project O
. O

Tectonic O
Resources O
NL O
TTR O
is O
conducting O
nickel B-MINERAL
exploration O
at O
RAV8 B-ORE_DEPOSIT
, O
which O
is O
located O
east O
of O
Ravensthorpe B-LOCATION
in O
Western B-LOCATION
Australia I-LOCATION
. O

Overall O
, O
production O
of O
the O
RAV8 B-ORE_DEPOSIT
mine O
open O
pit O
and O
underground O
totalled O
457,450 O
t O
3 O
. O

4 O
nickel B-MINERAL
recovering O
15,430 O
tonnes O
of O
nickel B-MINERAL
metal O
. O

It O
has O
also O
been O
approved O
that O
a O
portion O
of O
the O
RAV8 B-ORE_DEPOSIT
mine O
site O
facilitates O
the O
plant O
location O
for O
the O
milling O
of O
the O
gold B-ORE_DEPOSIT
copper I-ORE_DEPOSIT
ore I-ORE_DEPOSIT
from O
the O
Phillips O
River O
Project O
Kundip B-LOCATION
and O
Trilogy B-LOCATION
deposits O
. O

The O
Ravensthorpe B-LOCATION
Greenstone B-STRAT
Belt I-STRAT
is O
located O
at O
the O
southern O
margin O
of O
the O
Archaean B-TIMESCALE
Yilgarn B-LOCATION
Block I-LOCATION
. O

The O
Archaean B-TIMESCALE
group O
of O
rocks O
are O
broken O
up O
into O
the O
Ravensthorpe B-LOCATION
, O
Carlingup B-STRAT
and O
Cocanarup B-STRAT
Terranes I-STRAT
. O

To O
the O
south O
the O
Proterozoic B-TIMESCALE
Mount B-STRAT
Barren I-STRAT
Group I-STRAT
unconformably O
overlies O
the O
Archaean B-TIMESCALE
rocks O
Witt O
, O
1998 O
; O
see O
Figure O
2 O
for O
regional O
diagram O
of O
geology O
. O

Witt O
1998 O
described O
the O
Archaean B-TIMESCALE
and O
Proterozoic B-TIMESCALE
geology O
of O
the O
region O
defining O
the O
fault O
bounded O
terranes O
Ravensthorpe B-LOCATION
, O
Carlingup B-LOCATION
and O
Cocanarup B-LOCATION
. O

The O
Carlingup B-STRAT
Formation I-STRAT
is O
formed O
up O
of O
the O
Chester B-STRAT
Formation I-STRAT
, O
Maydon B-STRAT
Basalt I-STRAT
, O
Hatfield B-STRAT
Formation I-STRAT
and O
Bandalup B-STRAT
Ultramafics I-STRAT
. O

The O
Chester B-STRAT
Formation I-STRAT
is O
mainly O
metamorphosed O
sedimentary B-ROCK
rocks I-ROCK
including O
metapsammite B-ROCK
, O
meta B-ROCK
pelite I-ROCK
and O
banded B-ROCK
iron I-ROCK
formations I-ROCK
with O
minor O
felsic B-ROCK
volcanic I-ROCK
rocks I-ROCK
. O

The O
Maydon B-STRAT
Basalt I-STRAT
is O
a O
2000 O
m O
thick O
sequence O
of O
metamorphosed O
to O
pillow B-ROCK
basalt I-ROCK
with O
minor O
metamorphosed O
dolerite B-ROCK
and O
rare O
interflow O
metasedimentary B-ROCK
rocks I-ROCK
. O

The O
Hatfield B-STRAT
Formation I-STRAT
contains O
metamorphosed O
, O
fine O
grained O
clastic B-ROCK
sedimentary I-ROCK
rocks I-ROCK
with O
minor O
dacitic B-ROCK
volcanic I-ROCK
rocks I-ROCK
and O
volcaniclastic I-ROCK
rocks I-ROCK
. O

The O
Bandalup B-STRAT
Ultramafics I-STRAT
are O
a O
thick O
zone O
of O
1500 O
m O
sequence O
of O
metamorphosed O
komatiitic B-ROCK
volcanic I-ROCK
rocks I-ROCK
with O
minor O
basalt B-ROCK
and O
gabbro B-ROCK
. O

There O
are O
minor O
thin O
banded B-ROCK
iron I-ROCK
formations I-ROCK
interbedded O
or O
tectonically O
emplaced O
with O
sedimentary B-ROCK
rocks I-ROCK
. O

The O
komatiite B-ROCK
flows O
are O
zoned O
where O
olivine B-MINERAL
spinifex O
textured O
komatiite B-ROCK
overlies O
olivine B-MINERAL
orthocumulate B-ROCK
rocks I-ROCK
. O

Serpentinised O
, O
adcumulate O
dunite B-ROCK
is O
a O
minor O
component O
in O
the O
ultramafic O
unit O
and O
this O
occurs O
in O
the O
strongly O
deformed O
units O
. O

There O
are O
minor O
felsic O
volcanic O
units O
dacite B-ROCK
, O
rhyolite B-ROCK
within O
the O
Carlingup B-STRAT
Terrane I-STRAT
that O
are O
found O
in O
areas O
around O
Kundip B-LOCATION
and O
southeast O
of O
Bandalup B-LOCATION
. O

The O
nickel B-MINERAL
mineralisation O
associated O
with O
the O
RAV8 B-ORE_DEPOSIT
deposit I-ORE_DEPOSIT
lies O
within O
the O
Bandalup B-STRAT
Ultramafic I-STRAT
. O

Nickel B-MINERAL
mineralisation O
generally O
occurs O
within O
the O
ultramafic O
unit O
although O
localised O
faulting O
has O
formed O
droppers O
that O
cross O
cut O
the O
footwall O
and O
hanging O
wall O
contacts O
. O

The O
ultramafic O
units O
described O
by O
Gole O
2004 O
within O
the O
RAV8 B-ORE_DEPOSIT
mine O
sequence O
can O
be O
defined O
as O
serpentinised O
metamorphic O
olivine B-MINERAL
, O
amphibole B-MINERAL
, O
chlorite B-MINERAL
rocks O
known O
locally O
as O
USP O
ultramafic O
serpentinite B-ROCK
or O
talc B-MINERAL
, O
carbonate B-MINERAL
, O
chlorite B-MINERAL
and O
minor O
talc B-MINERAL
carbonate B-MINERAL
, O
chlorite B-MINERAL
amphibole B-MINERAL
serpentine I-MINERAL
schists B-ROCK
known O
locally O
as O
UTC O
, O
ultramafic O
talc B-MINERAL
, O
carbonate B-MINERAL
, O
chlorite B-MINERAL
. O

Other O
ultramafic O
units O
within O
the O
host O
sequence O
are O
chlorite B-MINERAL
, O
chlorite B-MINERAL
carbonate B-MINERAL
and O
chlorite B-MINERAL
amphibole B-MINERAL
schists B-ROCK
of O
metasomatic O
origin O
. O

Dark O
green O
actinolite B-MINERAL
hornblende B-MINERAL
chlorite I-MINERAL
schist B-ROCK
and O
serpentinite B-MINERAL
lizardite I-MINERAL
, O
talc B-ROCK
rock I-ROCK
and O
serpentine B-MINERAL
minor O
to O
trace O
amphibole B-MINERAL
, O
chlorite B-MINERAL
rocks O
with O
well O
preserved O
olivine B-MINERAL
cumulate O
textures O
. O

The O
felsic O
units O
associated O
with O
the O
mine O
are O
highly O
silicified O
, O
layered O
rhyolite B-ROCK
dacite I-ROCK
units O
. O

The O
felsic O
units O
occur O
as O
hangingwall O
and O
footwall O
units O
dominated O
by O
quartz B-MINERAL
with O
trace O
chlorite B-MINERAL
and O
iron O
minerals O
, O
staining O
the O
units O
a O
red O
or O
green O
colour O
depending O
on O
the O
percentage O
of O
chlorite B-MINERAL
or O
iron O
, O
described O
by O
Marjoribanks O
2004 O
as O
quartz B-MINERAL
, O
sericite B-MINERAL
, O
chlorite B-MINERAL
schists B-ROCK
. O

Nickel B-MINERAL
mineralisation O
at O
RAV8 B-ORE_DEPOSIT
is O
in O
the O
form O
of O
massive O
pentlandite B-MINERAL
and O
pyrrhotite B-MINERAL
with O
other O
sulphides B-MINERAL
such O
as O
violarite B-MINERAL
, O
pyrite B-MINERAL
and O
chalcopyrite B-MINERAL
. O

The O
nickel B-MINERAL
mineralisation O
has O
been O
remobilised O
and O
distribution O
of O
the O
sulphide B-MINERAL
mineralisation O
is O
structurally O
controlled O
Gole O
, O
2004 O
. O

Exploration O
Licence O
E O
511959 O
is O
located O
approximately O
80 O
kilometres O
north O
east O
of O
Meekatharra B-LOCATION
in O
the O
Murchison B-LOCATION
Mineral O
Field O
. O

GEOLOGY O
Exploration O
Licence O
E511959 O
is O
located O
within O
the O
Bryah B-LOCATION
Basin I-LOCATION
, O
formerly O
part O
of O
the O
Glengarry B-LOCATION
Basin I-LOCATION
, O
Pirajno O
and O
Occhipinti O
1998 O
. O

According O
to O
the O
geological O
mapping O
of O
the O
Bryah O
1 O
: O
100,000 O
sheet O
most O
of O
the O
licence O
, O
although O
largely O
obscured O
by O
ironstone B-ROCK
duricrust I-ROCK
and O
sheetwash B-ROCK
is O
underlain O
by O
basaltic O
hyaloclasites O
of O
the O
Narracoota B-STRAT
Formation I-STRAT
. O

Geological O
observations O
made O
during O
the O
course O
of O
the O
field O
work O
confirmed O
the O
outcrop O
of O
metabasalt B-ROCK
in O
the O
south O
of O
the O
licence O
and O
noted O
the O
outcrop O
of O
sandstone B-ROCK
and O
wackes B-ROCK
as O
windows O
in O
the O
duricrust B-ROCK
in O
central O
portions O
of O
the O
licence O
, O
refer O
to O
Figure O
2 O
. O

WORK O
UNDERTAKEN O
refer O
Figure O
2 O
for O
locations O
Grid O
locations O
referred O
to O
are O
referenced O
in O
GOA O
94 O
Metal O
Detecting O
Metal O
detecting O
was O
undertaken O
across O
the O
licence O
with O
particular O
attention O
being O
paid O
to O
areas O
with O
quartz B-MINERAL
and O
ironstone B-ROCK
scree O
. O

Two O
centres O
, O
patches O
, O
of O
gold B-MINERAL
nuggets O
were O
delineated O
. O

Both O
patches O
are O
located O
to O
the O
south O
and O
east O
of O
, O
and O
just O
below O
the O
crest O
of O
a O
ridge O
of O
laterite B-ROCK
and O
oxidized O
sedimentary B-ROCK
rocks I-ROCK
, O
mainly O
sandstones B-ROCK
and O
greywacke B-ROCK
, O
with O
minor O
quartz B-MINERAL
and O
ferruginous O
material O
. O

At O
these O
locations O
it O
appears O
that O
the O
laterite B-ROCK
horizon O
has O
been O
stripped O
off O
. O

It O
is O
possible O
that O
the O
gold B-MINERAL
was O
initially O
concentrated O
in O
the O
laterite B-ROCK
and O
remained O
as O
an O
eluvial O
deposit O
on O
the O
erosion O
of O
the O
laterite B-ROCK
. O

than O
more O
extensive O
outcrops O
of O
sediments B-ROCK
as O
opposed O
to O
ironstone B-ROCK
duricrust B-ROCK
in O
the O
south O
central O
portion O
of O
the O
licence O
. O

No O
significant O
gold B-MINERAL
in O
soil O
values O
were O
returned O
. O

5 O
km2 O
is O
located O
in O
the O
West B-LOCATION
Pilbara I-LOCATION
Region I-LOCATION
of O
Western B-LOCATION
Australia I-LOCATION
. O

It O
is O
